type,uri
activity,https://digitaalerfgoed.poolparty.biz/globalise/006afc30-5bcf-4e2e-bf89-3c5a51a83b80
activity,https://digitaalerfgoed.poolparty.biz/globalise/00823339-4255-4afc-9849-f7a572dd7427
activity,https://digitaalerfgoed.poolparty.biz/globalise/023f455f-53be-42fb-99dc-b052c334e282
activity,https://digitaalerfgoed.poolparty.biz/globalise/0649e440-efbd-483b-9398-ddee9069fb32
activity,https://digitaalerfgoed.poolparty.biz/globalise/08016980-f030-4bde-9fad-01dfa25dbf68
activity,https://digitaalerfgoed.poolparty.biz/globalise/0a2567e2-6a47-41a4-9bdd-52fd7fde1271
activity,https://digitaalerfgoed.poolparty.biz/globalise/0ad9f394-23fe-4ea7-8577-52fa325f2620
activity,https://digitaalerfgoed.poolparty.biz/globalise/0bd65c54-4d73-475c-902e-70767083f86a
activity,https://digitaalerfgoed.poolparty.biz/globalise/11a28b6c-20e7-49cc-85f5-9f41437e5230
activity,https://digitaalerfgoed.poolparty.biz/globalise/1268ca5a-a5be-466f-bf67-4c0e77ed683f
activity,https://digitaalerfgoed.poolparty.biz/globalise/136052da-7232-489e-b8e0-3efa0f261e70
activity,https://digitaalerfgoed.poolparty.biz/globalise/144a424a-4218-46fc-a266-97ff6df08eed
activity,https://digitaalerfgoed.poolparty.biz/globalise/165a8310-c23a-4265-bb1b-0c661a62c09a
activity,https://digitaalerfgoed.poolparty.biz/globalise/1675cc83-a354-4fe5-953a-fb1b7de793cd
activity,https://digitaalerfgoed.poolparty.biz/globalise/16c0ecc0-2b8c-454c-850f-e494d3ca0587
activity,https://digitaalerfgoed.poolparty.biz/globalise/17ffaa04-4877-490d-8f13-5e17d6e03739
activity,https://digitaalerfgoed.poolparty.biz/globalise/1ab129fd-2cb4-4e42-8c13-cab8305cb693
activity,https://digitaalerfgoed.poolparty.biz/globalise/1e33757e-1993-4d58-a637-6ff9a0e0a0c7
activity,https://digitaalerfgoed.poolparty.biz/globalise/1e79bd22-ded4-4f99-b86c-b8d42a168791
activity,https://digitaalerfgoed.poolparty.biz/globalise/1eaba768-49e9-40d9-ae39-78c7b83c1b18
activity,https://digitaalerfgoed.poolparty.biz/globalise/2265a79a-2b8f-4fc2-8288-3dd5caf28fd7
activity,https://digitaalerfgoed.poolparty.biz/globalise/25e2ccd4-771d-4781-8fe3-90bfa93aeee2
activity,https://digitaalerfgoed.poolparty.biz/globalise/27154617-78de-4d63-983c-19b9bbe7c29a
activity,https://digitaalerfgoed.poolparty.biz/globalise/2777ca03-a162-47eb-9841-a6d2453c9b8e
activity,https://digitaalerfgoed.poolparty.biz/globalise/288ecd84-5e4c-4815-9e62-2359af73c936
activity,https://digitaalerfgoed.poolparty.biz/globalise/29116153-dc7e-4cfe-bd8b-4afb6af77e7a
activity,https://digitaalerfgoed.poolparty.biz/globalise/29506bd5-d735-4752-b933-e3f25e677296
activity,https://digitaalerfgoed.poolparty.biz/globalise/2b9894b7-d76e-47a1-8c69-35d03c2a55f9
activity,https://digitaalerfgoed.poolparty.biz/globalise/2c6294cc-8cf5-4772-a82b-01b89d792b6a
activity,https://digitaalerfgoed.poolparty.biz/globalise/2dae2621-4b15-47d2-8e62-d73889993c51
activity,https://digitaalerfgoed.poolparty.biz/globalise/2db76f64-b3ff-4512-91ad-14c526ffd8bf
activity,https://digitaalerfgoed.poolparty.biz/globalise/2df8adb4-5c8e-4548-9025-136c0218bba2
activity,https://digitaalerfgoed.poolparty.biz/globalise/2e4ca5af-47e5-41ff-9a6d-cab3568fd74e
activity,https://digitaalerfgoed.poolparty.biz/globalise/36f4677d-da85-4394-970d-c3e695d0e6d9
activity,https://digitaalerfgoed.poolparty.biz/globalise/39db5c6e-4303-4ee2-875a-4a1fbc191fea
activity,https://digitaalerfgoed.poolparty.biz/globalise/3ad3d72f-29d1-443a-9908-5df26e655715
activity,https://digitaalerfgoed.poolparty.biz/globalise/3ae82133-0f96-4eb4-9d5c-4bbc1acc0d77
activity,https://digitaalerfgoed.poolparty.biz/globalise/3bb3db3d-c394-4810-bbf8-9d530a8ce1b8
activity,https://digitaalerfgoed.poolparty.biz/globalise/418c96f5-9544-4dc8-ad88-924615139aff
activity,https://digitaalerfgoed.poolparty.biz/globalise/45598da5-1a81-436e-939c-80f064ea0043
activity,https://digitaalerfgoed.poolparty.biz/globalise/47667845-ee0f-4a1a-a0a9-aa59d382fd88
activity,https://digitaalerfgoed.poolparty.biz/globalise/477a9da7-ec33-450a-82d8-fae9228c2b6d
activity,https://digitaalerfgoed.poolparty.biz/globalise/49d69101-6f46-4474-bb46-9952287a430c
activity,https://digitaalerfgoed.poolparty.biz/globalise/4ba187c0-6a1f-44fb-b6b1-4690736b9e9b
activity,https://digitaalerfgoed.poolparty.biz/globalise/4bc038c6-2338-4b98-a350-5a4091f04e9a
activity,https://digitaalerfgoed.poolparty.biz/globalise/4c532d32-8616-4b99-bf07-ee18c57e68db
activity,https://digitaalerfgoed.poolparty.biz/globalise/4dd85824-93db-4027-881b-e4db2bccf4a3
activity,https://digitaalerfgoed.poolparty.biz/globalise/4f214718-3dbb-47c0-9209-b3408c5e173b
activity,https://digitaalerfgoed.poolparty.biz/globalise/5057771e-88ce-4cbd-9421-9fe49efd3907
activity,https://digitaalerfgoed.poolparty.biz/globalise/557b7426-c16a-44ef-90c7-07bb332a9d64
activity,https://digitaalerfgoed.poolparty.biz/globalise/59dc2e0f-4aac-4a2a-a718-98df13257bfc
activity,https://digitaalerfgoed.poolparty.biz/globalise/5d15eed5-e324-4783-a552-b9abaf8b6a88
activity,https://digitaalerfgoed.poolparty.biz/globalise/5e309e88-1815-49b8-a2ee-3ed890cb2f0b
activity,https://digitaalerfgoed.poolparty.biz/globalise/5e607dfd-624a-4f9c-911f-8bcf82eb94ca
activity,https://digitaalerfgoed.poolparty.biz/globalise/6130793a-92c3-48cc-98ab-d97f178d2272
activity,https://digitaalerfgoed.poolparty.biz/globalise/61ba65d7-3405-44f1-85bb-593d4bf175ac
activity,https://digitaalerfgoed.poolparty.biz/globalise/654215d6-dd47-48d2-96a7-36e469d613e8
activity,https://digitaalerfgoed.poolparty.biz/globalise/65e33977-9fd4-4d97-8aa4-ad468276a0ad
activity,https://digitaalerfgoed.poolparty.biz/globalise/65fe3b47-9aa1-41ab-9b7e-64bf0bc0fb2b
activity,https://digitaalerfgoed.poolparty.biz/globalise/67f257b3-6faa-435a-b269-71814f6cce06
activity,https://digitaalerfgoed.poolparty.biz/globalise/6903e44f-e1cd-4977-b4f2-10ed1d7d4935
activity,https://digitaalerfgoed.poolparty.biz/globalise/6991e643-9600-4308-b67c-a33a1f0df911
activity,https://digitaalerfgoed.poolparty.biz/globalise/6a0debb0-eec8-4e2c-804b-aa92f669e987
activity,https://digitaalerfgoed.poolparty.biz/globalise/75133e93-7106-46f1-80c1-d0ac9e8cca9b
activity,https://digitaalerfgoed.poolparty.biz/globalise/75bcec97-3a67-4d2a-b683-9c65d093b8ba
activity,https://digitaalerfgoed.poolparty.biz/globalise/767c8372-1a38-441e-a049-8bbdf0ff9138
activity,https://digitaalerfgoed.poolparty.biz/globalise/787175af-18c5-41fa-9e94-f36404eb35c1
activity,https://digitaalerfgoed.poolparty.biz/globalise/7935a492-5f24-46eb-96a4-cfdc77be3ff1
activity,https://digitaalerfgoed.poolparty.biz/globalise/79625d75-5030-40c4-990f-b42e6e03118c
activity,https://digitaalerfgoed.poolparty.biz/globalise/7b442af4-e0a9-43ae-bd5d-426375e908ff
activity,https://digitaalerfgoed.poolparty.biz/globalise/7b602537-f199-462b-9d65-66f9f2e29471
activity,https://digitaalerfgoed.poolparty.biz/globalise/7cc9efe5-8e46-43df-ac5f-fff5ea40d9a5
activity,https://digitaalerfgoed.poolparty.biz/globalise/7e6455e8-c8da-41a5-83b6-db8fed82eadd
activity,https://digitaalerfgoed.poolparty.biz/globalise/7ee02dec-67d9-4379-8ac5-81da325b6322
activity,https://digitaalerfgoed.poolparty.biz/globalise/7ff84cfe-8f82-4afc-a638-2887675635ea
activity,https://digitaalerfgoed.poolparty.biz/globalise/80219559-083b-4ce7-8a6a-2414db3eeb74
activity,https://digitaalerfgoed.poolparty.biz/globalise/804d05ef-dac2-4952-a4de-45a0e4d555b9
activity,https://digitaalerfgoed.poolparty.biz/globalise/8130bce4-7f24-4c65-9b60-30e798036642
activity,https://digitaalerfgoed.poolparty.biz/globalise/8130bce4-7f24-4c65-9b60-30e798036647
activity,https://digitaalerfgoed.poolparty.biz/globalise/8130bce4-7f24-4c65-9b60-30e798036648
activity,https://digitaalerfgoed.poolparty.biz/globalise/81cdd4de-8ae1-4920-910b-a16fa02a70d7
activity,https://digitaalerfgoed.poolparty.biz/globalise/8564df2f-c059-4567-851d-a5682b918e56
activity,https://digitaalerfgoed.poolparty.biz/globalise/88e78124-cbb2-4602-bff7-64cf09bf1f49
activity,https://digitaalerfgoed.poolparty.biz/globalise/8a5461f8-15be-4966-9449-5dd83958e4a4
activity,https://digitaalerfgoed.poolparty.biz/globalise/8fa7f70c-ca18-42e9-b915-0be30e3ce660
activity,https://digitaalerfgoed.poolparty.biz/globalise/90f5e4bc-a897-499b-96fe-63f63dcdbd68
activity,https://digitaalerfgoed.poolparty.biz/globalise/921c71bd-61f6-41c0-a8b3-5b760004ae74
activity,https://digitaalerfgoed.poolparty.biz/globalise/97dc1d81-9045-4632-b23f-643e29281c05
activity,https://digitaalerfgoed.poolparty.biz/globalise/9818e686-ec0b-4288-ab89-1d6d4057add0
activity,https://digitaalerfgoed.poolparty.biz/globalise/9818e686-ec0b-4288-ab89-1d6d4057add6
activity,https://digitaalerfgoed.poolparty.biz/globalise/98815532-3228-4bd4-881f-f60135307591
activity,https://digitaalerfgoed.poolparty.biz/globalise/99bce3ec-1673-459a-93a8-a335a1a612dc
activity,https://digitaalerfgoed.poolparty.biz/globalise/99d699fc-f25f-4e65-979e-760f49c8f854
activity,https://digitaalerfgoed.poolparty.biz/globalise/9abf0fbc-7b6e-4c2a-9a5c-5ec000d04875
activity,https://digitaalerfgoed.poolparty.biz/globalise/9ca4bb09-7ef9-4867-b979-737745e6cfe3
activity,https://digitaalerfgoed.poolparty.biz/globalise/9f575ccf-35e5-433b-baf0-b68adb25be66
activity,https://digitaalerfgoed.poolparty.biz/globalise/a0540441-f680-4b50-bdef-8c37202e14c0
activity,https://digitaalerfgoed.poolparty.biz/globalise/a1b2a920-2427-4207-beec-a0505d532aca
activity,https://digitaalerfgoed.poolparty.biz/globalise/a296fe15-7354-4430-99ee-37dcd3e5ad47
activity,https://digitaalerfgoed.poolparty.biz/globalise/a29a36b8-5d0c-4bf5-96d0-11e9bf8f4a91
activity,https://digitaalerfgoed.poolparty.biz/globalise/a49b6212-d030-40dc-a105-0c9170b2d75f
activity,https://digitaalerfgoed.poolparty.biz/globalise/a4c3d0f5-2882-4799-bf1e-2a34376f26bb
activity,https://digitaalerfgoed.poolparty.biz/globalise/a5b7bdd4-8969-4430-81a7-4e3b84872e71
activity,https://digitaalerfgoed.poolparty.biz/globalise/a685bd45-e04b-4e34-bc8d-2db94382a062
activity,https://digitaalerfgoed.poolparty.biz/globalise/a96d8f2c-5652-44e2-bb83-03fbb779bf4b
activity,https://digitaalerfgoed.poolparty.biz/globalise/a9c41960-a8b5-4e96-95bb-68f8f22e35ef
activity,https://digitaalerfgoed.poolparty.biz/globalise/ab31d1d3-1a65-45f3-996a-eae7edc3e17b
activity,https://digitaalerfgoed.poolparty.biz/globalise/ad5a4772-a85d-4438-98c4-844908a4e0bf
activity,https://digitaalerfgoed.poolparty.biz/globalise/ad5c6223-77a7-47da-95f3-2f5025dcc918
activity,https://digitaalerfgoed.poolparty.biz/globalise/b3bd3585-d073-4a96-b380-80c6309d46ff
activity,https://digitaalerfgoed.poolparty.biz/globalise/b5de8b5d-45ac-492f-832e-42af2b0e30b3
activity,https://digitaalerfgoed.poolparty.biz/globalise/b860f035-5766-44ba-a257-9b3f320e20c1
activity,https://digitaalerfgoed.poolparty.biz/globalise/b9f45597-916b-4311-b3e9-a018e0c0391f
activity,https://digitaalerfgoed.poolparty.biz/globalise/ba5cf967-469f-4fd8-adbd-c3ef77cb3e7f
activity,https://digitaalerfgoed.poolparty.biz/globalise/bb8a47ab-db0f-44c1-9997-9eb4049289ad
activity,https://digitaalerfgoed.poolparty.biz/globalise/be09705a-257c-4cb7-8fb3-5176d75cbf44
activity,https://digitaalerfgoed.poolparty.biz/globalise/c01a73e3-491f-4146-9d41-d509beb08de6
activity,https://digitaalerfgoed.poolparty.biz/globalise/c2651933-5dbf-4603-ad90-786fa3e79566
activity,https://digitaalerfgoed.poolparty.biz/globalise/c864b7ce-158f-4f03-83fd-e1948af93232
activity,https://digitaalerfgoed.poolparty.biz/globalise/cb5db7b1-6411-4240-875d-57fa0dc8f675
activity,https://digitaalerfgoed.poolparty.biz/globalise/ce52052a-01d3-4cda-a2ab-307255e0e097
activity,https://digitaalerfgoed.poolparty.biz/globalise/cea470cc-a070-469f-9628-88220eef2964
activity,https://digitaalerfgoed.poolparty.biz/globalise/cfcdda32-0f76-4cbf-b8ba-d52991ae0791
activity,https://digitaalerfgoed.poolparty.biz/globalise/d4a9fb53-2bcf-4e91-b156-a548cbb54ec3
activity,https://digitaalerfgoed.poolparty.biz/globalise/d662b133-55ee-4d23-b894-429797d368a4
activity,https://digitaalerfgoed.poolparty.biz/globalise/d8b15b44-32bc-4754-8847-d5a272f904d0
activity,https://digitaalerfgoed.poolparty.biz/globalise/db07e028-e2e9-4c67-82a1-cd1b4be70271
activity,https://digitaalerfgoed.poolparty.biz/globalise/db9bbcd7-2923-4bec-b8cf-a1a1ec86936a
activity,https://digitaalerfgoed.poolparty.biz/globalise/dc30e609-09a1-4546-828e-61b9f3c2febd
activity,https://digitaalerfgoed.poolparty.biz/globalise/e0b79690-f507-4464-bb26-95fdf51b10e1
activity,https://digitaalerfgoed.poolparty.biz/globalise/e1881ca2-a3c0-476d-8dd3-79a81123cc8a
activity,https://digitaalerfgoed.poolparty.biz/globalise/e3792869-bdca-437e-9000-50a9e1bc32fa
activity,https://digitaalerfgoed.poolparty.biz/globalise/e429bde3-ad17-4682-9741-46b06420536f
activity,https://digitaalerfgoed.poolparty.biz/globalise/e44a66b8-6e1b-4834-ad36-51ed731494b6
activity,https://digitaalerfgoed.poolparty.biz/globalise/e4fc383c-d02f-4e8f-8b3c-5b055fb1e7c2
activity,https://digitaalerfgoed.poolparty.biz/globalise/e95f5351-eda9-40cd-b665-ee7f9ce79246
activity,https://digitaalerfgoed.poolparty.biz/globalise/e9dc5116-5967-419b-9453-88478923d96a
activity,https://digitaalerfgoed.poolparty.biz/globalise/ea6c076e-60fb-4882-88e3-aa4a82192142
activity,https://digitaalerfgoed.poolparty.biz/globalise/eb1c656e-27e0-4a04-b92f-5c0bd4dd2eff
activity,https://digitaalerfgoed.poolparty.biz/globalise/eb4c2b70-760f-4b99-bbda-d5fa6c9a4131
activity,https://digitaalerfgoed.poolparty.biz/globalise/ec381ba0-a714-44dc-aff8-c306cffb4028
activity,https://digitaalerfgoed.poolparty.biz/globalise/ec980f32-85f4-490d-a939-add0a077ad3e
activity,https://digitaalerfgoed.poolparty.biz/globalise/ed75fe1e-4fd3-48e0-b3ad-15153f9ac3a3
activity,https://digitaalerfgoed.poolparty.biz/globalise/ef320306-2ff7-4858-9906-fa19781d26fc
activity,https://digitaalerfgoed.poolparty.biz/globalise/f19bb176-6825-4e84-ba39-43d86b9ba3a6
activity,https://digitaalerfgoed.poolparty.biz/globalise/f20b45b7-c87d-4f92-813d-a3159797c4ba
activity,https://digitaalerfgoed.poolparty.biz/globalise/f21d8412-37fc-4779-a9d6-03067227fecf
activity,https://digitaalerfgoed.poolparty.biz/globalise/f2274cd6-e9ce-4425-b869-a75c71fbadf3
activity,https://digitaalerfgoed.poolparty.biz/globalise/f43aa385-f65d-4598-bbb0-c9d34a03985a
activity,https://digitaalerfgoed.poolparty.biz/globalise/f4d248d5-a908-49aa-9cfa-229fed18102b
activity,https://digitaalerfgoed.poolparty.biz/globalise/f5a5e736-fe6d-4a1e-aa21-64cf6b476404
activity,https://digitaalerfgoed.poolparty.biz/globalise/f5b1e0e2-283c-4e1b-8d79-db9de1eb4255
activity,https://digitaalerfgoed.poolparty.biz/globalise/f6ecd974-64da-485b-ba23-0adaea6ea8e5
activity,https://digitaalerfgoed.poolparty.biz/globalise/f87ed384-7c23-474a-988b-8fc6f4264ff3
activity,https://digitaalerfgoed.poolparty.biz/globalise/f8f017f6-94aa-4e6d-be36-2276959d43ed
activity,https://digitaalerfgoed.poolparty.biz/globalise/fbeae263-15c8-4847-a226-2c6e085e7ea8
activity,https://digitaalerfgoed.poolparty.biz/globalise/fd2f20a7-7793-4c80-aea2-d5f6cacfffd9
activity,https://digitaalerfgoed.poolparty.biz/globalise/ff56c718-cfee-4c2c-afdd-ebb691bbc572
activityType,https://digitaalerfgoed.poolparty.biz/globalise/225cef07-5b8e-4a8b-a141-2471a0cffce8
activityType,https://digitaalerfgoed.poolparty.biz/globalise/b02a06d5-9003-4521-8021-24e451d49948
activityType,https://digitaalerfgoed.poolparty.biz/globalise/d4e41e03-63a4-4673-b711-a699624f5a04
identity,https://digitaalerfgoed.poolparty.biz/globalise/55baeba7-b3ec-4d2c-8488-df35aa1cbf18
identity,https://digitaalerfgoed.poolparty.biz/globalise/603c3cc7-05ea-4964-98e9-be7bc0b955d6
identity,https://digitaalerfgoed.poolparty.biz/globalise/78f5d9a4-f087-42c3-bb5e-1493f5ffa42f
identity,https://digitaalerfgoed.poolparty.biz/globalise/8fa3d88a-021c-4976-ab8e-1773b93889fe
identity,https://digitaalerfgoed.poolparty.biz/globalise/99487af7-f3fe-4f91-8592-7d9561072c62
identity,https://digitaalerfgoed.poolparty.biz/globalise/a53104b8-a867-48cd-90e8-369979ed1e5a
identity,https://digitaalerfgoed.poolparty.biz/globalise/cf7d2acc-1e53-44d3-ae67-b10de43bdf71
identityType,https://digitaalerfgoed.poolparty.biz/globalise/8350c460-ad49-40c8-9e9e-987fb30ff176
identityType,https://digitaalerfgoed.poolparty.biz/globalise/bfd9751f-b665-48bc-99e6-6a9b89e22e85
locationRelation,https://digitaalerfgoed.poolparty.biz/globalise/8439514a-64bf-4f0b-8f7a-e8ac515d17df
locationRelation,https://digitaalerfgoed.poolparty.biz/globalise/f7708a18-d120-486f-a366-a7273214e0db
relation,https://d-nb.info/standards/elementset/agrelon#hasspouse
